,Nick,League Points,Total Games,Daily League Points,Daily Games
146,PSR Cascendre ,970,353,243.0,120.0
148,KRC BriksTn,1137,965,242.0,415.0
147,Gros Pigeon,652,218,242.0,39.0
149,voidcall98,622,292,241.0,101.0
150,infernixx,1361,791,240.0,319.0
151,Epsyy0,612,349,240.0,126.0
153,TomJedus0r,1204,776,233.0,342.0
152,RiiKKz,748,235,233.0,78.0
154,DV1 Kacpersky191,1305,546,231.0,273.0
155,TMS Littletoof,772,400,230.0,159.0
156,Mùa Sau TD,696,625,229.0,308.0
157,TFT Panpan,869,662,223.0,239.0
158,James D Savage,753,598,219.0,284.0
159,Deis1k,1487,644,217.0,234.0
162,Sologesang,1332,934,211.0,406.0
161,samblock10,774,444,211.0,74.0
160,Joueurke,720,793,211.0,316.0
163,jodelj,833,187,210.0,55.0
164,Alanzq,1147,731,208.0,399.0
165,MHStana,869,1096,207.0,327.0
167,Bural0,940,381,206.0,86.0
166,San Jomian,717,886,206.0,295.0
168,FKB Dokhy,1016,514,202.0,227.0
169,PCS Xperion,1236,425,197.0,150.0
170,Lezzaford,1062,905,196.0,409.0
171,Lynn Shao,961,275,195.0,83.0
172,ArmaTruc,1260,304,193.0,100.0
173,maakalele,866,266,191.0,54.0
174,Moanbag,625,294,188.0,48.0
175,zoro5773,1287,798,187.0,297.0
176,xia lu bie song,797,512,183.0,260.0
177,Fabulotus,660,562,181.0,194.0
178,RΞSTΛRT Aikø,611,425,180.0,139.0
179,Do u even Blyat,647,555,177.0,261.0
180,Barry Badden,782,510,173.0,187.0
181,Twinkle Toes,620,572,173.0,200.0
184,Adonis17,1127,654,169.0,328.0
183,Babyguana,881,838,169.0,348.0
182,CD NaP,855,515,169.0,153.0
185,Lorus,1589,451,167.0,56.0
186,The Kite Runner,667,330,167.0,108.0
187,Niku,606,533,163.0,220.0
188,6VODKAS,900,422,162.0,157.0
189,Loescher,1254,626,160.0,252.0
190,schratze,585,368,160.0,112.0
191,Knievel,960,413,156.0,179.0
192,Artíllery,718,626,154.0,267.0
193,JollyFaker777,656,438,153.0,159.0
194,Billie Jimmy,998,799,151.0,309.0
195,AGO Zbrojson,965,725,150.0,227.0
196,SLY Voltariux,1490,667,148.0,280.0
198,chunkypapa,1314,226,141.0,37.0
197,C0LiN,733,554,141.0,181.0
200,BGN ShinoPavels,682,425,139.0,149.0
199,njakvipfc,615,547,139.0,101.0
201,JH El Niño PoIIa,632,267,135.0,63.0
202,Um33d,1402,537,134.0,199.0
203,Elblancøs,665,653,129.0,204.0
204,Thrae,1416,731,127.0,231.0
205,Kyrregl,590,363,126.0,60.0
206,LIL Bränk,1215,465,125.0,130.0
207,Wet Jungler,1118,411,122.0,151.0
208,iLLuuu TFT,648,459,119.0,117.0
209,ZeròX,936,537,118.0,225.0
210,Falouille,633,178,113.0,57.0
211,YPRN Chwbk,849,259,108.0,109.0
212,Shui Xing Ji,603,625,107.0,214.0
213,KRC Skyfroz,650,307,96.0,74.0
214,PITICHI,1220,1285,94.0,513.0
215,TMS Sunshee,986,630,90.0,255.0
216,Fulguranter,767,618,90.0,326.0
217,GuttaManero,742,320,73.0,85.0
218,HolaSoySergio,524,756,70.0,295.0
219,Falkor Le Gentil,692,600,67.0,153.0
220,Texita,1120,495,65.0,162.0
221,AceofSpadesITA,1365,882,61.0,317.0
222,Arewilia,1099,386,60.0,141.0
223,szanować policje,628,738,59.0,280.0
224,siiQ,799,593,48.0,345.0
225,Maola Donata,545,439,48.0,133.0
226,Cynarr,1327,290,44.0,111.0
227,BoLennart,723,801,37.0,331.0
228,FNX Eavii,651,437,32.0,96.0
229,inttox,847,518,27.0,199.0
230,Tapriv,615,495,26.0,187.0
231,AndieM9,664,524,24.0,250.0
233,JR70 Piechu,764,315,21.0,101.0
232,Takitdown,581,777,21.0,306.0
234,LIL Enzosexe,1040,613,17.0,203.0
236,LFO Kuzma,790,664,14.0,172.0
235,davidismfbored,684,390,14.0,215.0
238,SwellerTiger,1525,782,10.0,357.0
237,gluteus maxímus,1308,495,10.0,135.0
239,Eybeam WG,833,328,10.0,172.0
240,Cute Crab,927,394,9.0,125.0
241,kevinparkertft,1260,1252,6.0,521.0
242,gromaitre,708,504,5.0,193.0
243,Petít Chaton,1031,428,3.0,131.0
244,rahzah,660,475,-3.0,73.0
245,BIGSWAGLORDLOLXD,743,1105,-4.0,649.0
246,Monjiiro,678,414,-4.0,68.0
247,RΞSTΛRT Vegeta,688,1160,-15.0,431.0
248,ANO Vicer,1040,528,-16.0,167.0
249,Tzuyann,546,596,-20.0,284.0
250,V1 ZULUL,772,606,-24.0,245.0
251,tetra17,710,361,-26.0,114.0
252,Genius Wambolo,716,615,-27.0,43.0
253,Ganord0f,587,495,-28.0,132.0
254,BAD Safo20,688,281,-34.0,111.0
255,DV1 shircane,1293,652,-35.0,143.0
256,S1C xus0o,1230,848,-36.0,308.0
257,J1aVX PaoPaoPW,641,561,-44.0,120.0
258,Akari Mizunashi,702,283,-45.0,64.0
259,vxzc19970730,1006,568,-46.0,224.0
260,Chambe,628,435,-47.0,119.0
261,Oz74 ,907,478,-53.0,231.0
262,NES Qetzer,1267,684,-60.0,255.0
263,ZyK0o,1230,262,-62.0,78.0
264,Ceremonialsss,1141,861,-64.0,357.0
265,TMS Vomendeth,729,445,-77.0,103.0
266,BGN Kenobi,912,557,-79.0,134.0
267,chmochmaTFT,1006,634,-85.0,242.0
268,JayPL,986,954,-88.0,420.0
269,Rezy,595,194,-93.0,34.0
270,Birderp,595,489,-98.0,176.0
271,Daan Stylez,950,671,-111.0,262.0
272,FNX Whıte Arıe,956,427,-126.0,78.0
273,PhenixLouis,589,326,-134.0,114.0
274,Noerum,916,611,-151.0,178.0
275,Ez Game xd,883,526,-161.0,220.0
276,Iunci Volumen,603,273,-164.0,117.0
