,Nick,League Points,Total Games,Daily League Points,Daily Games
544,대왕 굴비,835,393,0,0
545,MRNGU2,833,538,0,0
546,칼픽 다리,832,295,0,0
547,롤체챌까지한걸음,828,286,0,0
537,크흐맨,827,206,0,0
548,서강대영미어문,827,216,0,0
549,볼빵빵 테리어몬,824,335,0,0
551,뚠뚠펭귄,820,215,0,0
552,손목날아가분다,818,300,0,0
553,우리크,816,475,0,0
554,퀸인경,814,513,0,0
555,AFTV 배그좋아,813,724,0,0
556,behappy0504,812,719,0,0
557,Hz 에픽,812,205,0,0
558,스킬찍찍찍,812,225,0,0
559,랭킹1위후보,810,186,0,0
560,에 더,802,216,0,0
561,발 명,802,633,0,0
550,덕소나몽이,800,643,0,0
535,낭만 메잠,797,178,0,0
522,서폿장인노짱,796,344,0,0
534,알오비4,795,187,0,0
510,영점오,794,158,0,0
511,집은내가지킬게,793,620,0,0
512,PERSON 0,793,280,0,0
513,이상한미소,793,228,0,0
514,발바닥위에,791,237,0,0
515,세훈에몽,791,428,0,0
516,MAYSAQ,788,329,0,0
517,인천피스트유튜브,786,130,0,0
518,뿔보 절정 박성연,786,202,0,0
519,불암초척추분쇄기,784,707,0,0
520,칸체스TV,779,123,0,0
509,구지금,777,148,0,0
521,초코만,775,77,0,0
523,망한손,774,397,0,0
524,홀애비,773,585,0,0
525,콧수염로망스,773,560,0,0
526,경진이,769,118,0,0
527,낭군같은남자,766,391,0,0
528,귤이달면좋아,766,423,0,0
529,00Jungle,765,257,0,0
530,쌈 굴,763,278,0,0
531,나하뚜,761,379,0,0
532,아 갓 씨,761,721,0,0
533,Trick C,759,639,0,0
452,대화를 좋아해,757,279,0,0
674,메추리777,757,264,0,0
675,응애 나 애기보리,757,345,0,0
677,나의 일기장,756,327,0,0
819,세나 히데토시,756,697,0,0
820,김밥처럼 넌 만두처럼 달콤해,755,114,0,0
821,구진심,755,173,0,0
822,필통이,755,323,0,0
823,아니뭐할건데,753,253,0,0
824,두한짱 ,753,178,0,0
825,협찰찰,752,343,0,0
826,실수투성이 아이,750,213,0,0
827,zl존현민짱,749,415,0,0
828,단간론파키리기리,749,471,0,0
818,Devourance,748,146,0,0
829,하루카,748,500,0,0
830,Inativs,747,360,0,0
832,빵멍보다 못함,747,352,0,0
833,zoozzang,746,129,0,0
834,dps극딜,746,289,0,0
835,신사가 되세요,746,152,0,0
836,호마레토,745,162,0,0
837,정회 조,744,552,0,0
838,TwTF 인천피스트,742,309,0,0
839,개소리 한소리,740,364,0,0
840,Hz 안혁준2,739,377,0,0
