,Nick,League Points,Total Games,Daily League Points,Daily Games
419,아이디로안,385,132,0,0
420,이것만하고할게,385,233,0,0
257,가카그케원툴유저,384,320,0,0
258,퉤디이,384,267,0,0
259,Kim gyu hyeon,384,242,0,0
260,깜안림우진,384,135,0,0
261,자이라 고수,384,167,0,0
337,털코르셋,384,271,0,0
262,올빼미형인간,383,267,0,0
263,북경아기삵,383,556,0,0
264,아가돼지 서기,383,169,0,0
265,교방동,383,167,0,0
266,리븐 사기챔,383,200,0,0
256,짱주갓적만한다,382,518,0,0
267,달라도달라,382,278,0,0
268,내가니집뽀삐냐,382,212,0,0
270,믕 츄,381,120,0,0
271,못말리는 엄짱구,381,264,0,0
272,OwnRipper,381,354,0,0
273,yuniversal,381,173,0,0
274,호전중,381,265,0,0
275,TFT AD Carry,380,221,0,0
276,uL 롤체보단유진,380,177,0,0
277,혼칼찐,379,111,0,0
278,슈르르르륵,379,398,0,0
228,아이씨 조보아씨,378,269,0,0
229,BOT 혜지,378,286,0,0
253,행복이필요한사람,378,235,0,0
254,70014241,378,388,0,0
255,고문관 신승현,378,139,0,0
269,언더덕씨,378,263,0,0
279,롤을하면롤롤롤,378,416,0,0
280,37세모솔아다염창두,378,437,0,0
230,시골참새,377,126,0,0
231,정신병자19호,377,277,0,0
232,대일본제국,377,381,0,0
233,noanne,377,422,0,0
234,민혀깅,376,147,0,0
235,채팅시 사망,376,212,0,0
236,룬테라하러옴,376,172,0,0
237,좋은거만 함,376,552,0,0
238,명예 0렙 찍기,376,256,0,0
239,같은그림찾는사람,376,406,0,0
240,Kihyungdo,375,221,0,0
241,twitch 전설빵,375,160,0,0
242,구월동토박이,375,228,0,0
243,BN의 배신자 저격계정,375,61,0,0
244,JB Lee,375,491,0,0
245,궁중심리,374,201,0,0
246,Becrux,374,255,0,0
247,용욱아 물좀,374,150,0,0
248,9대1 뚫은 사나이,374,365,0,0
249,끼잉 나 애기깡민,374,194,0,0
250,두글자로만들어진,373,674,0,0
251,navvs,373,224,0,0
252,내가부엉이다,373,110,0,0
281,CE Twix,372,182,0,0
282,Aalc,372,145,0,0
283,보리보면짖는개,372,117,0,0
311,Burning,372,252,0,0
313,CoJooBoo,371,189,0,0
314,훈 순,371,194,0,0
315,부셔버리기,371,517,0,0
316,날두했다,370,141,0,0
317,신드라담배피드라,370,140,0,0
318,미드 1st,370,339,0,0
319,읭읭읭읭읭읭읭,370,240,0,0
320,티람지,370,260,0,0
321,장광자,370,114,0,0
312,PBE안해서너보다못함,369,246,0,0
322,샨 푸,369,347,0,0
323,달님해님별님,369,251,0,0
324,유미로널지켜줄게,369,352,0,0
326,정유년묘월묘일,369,322,0,0
327,쿠퍼 머피,368,93,0,0
328,콜비카오스코빙턴,368,391,0,0
329,작아서수치스러워,368,369,0,0
330,Viento,367,296,0,0
331,귤먹고양치하기,367,205,0,0
332,구광덕,367,186,0,0
297,TFT원정,366,212,0,0
310,러브메세지,366,215,0,0
325,Cluge,366,263,0,0
333,그얼굴에뭔공주야,366,410,0,0
334,VoteLeeJaeMyeong,366,93,0,0
335,고려주전자,366,190,0,0
336,    배치부터    ,366,226,0,0
285,뵨태앙,365,234,0,0
286,진짜운빨씹망게임,365,396,0,0
287,경북대 체스머신,365,238,0,0
288,도깨비 비형,365,205,0,0
309,케이틀린 3성,365,355,0,0
289,AsLunar,364,279,0,0
290,Lee 종원,364,343,0,0
291,윤임천사가아닐까,364,449,0,0
292,널사랑하나봄,364,155,0,0
293,dumpsong,364,531,0,0
294,실력 태보,363,113,0,0
284,Theb0b,360,388,0,0
295,황당황당황당당,360,568,0,0
296,TFT 냐옹이,357,258,0,0
298,각성이,357,198,0,0
299,단풍사탕,355,205,0,0
300,한번 뛰는 사람,350,602,0,0
301,c600g,337,317,0,0
302,ELGOOG,332,240,0,0
303,민초단 망고빌런,328,786,0,0
304,Actin,323,319,0,0
305,네네치즈볼,316,182,0,0
306, 블 륀 쨩,315,229,0,0
307,천발백중,311,198,0,0
308,조만간퇴사,265,169,0,0
899,오버스,261,293,0,0
